n,t_us,dec,bin,hex,volts
0,552,1305,010100011001,0x519,1.045275
1,1599,3887,111100101111,0xF2F,3.113397
2,2342,2561,101000000001,0xA01,2.051302
3,3065,493,000111101101,0x1ED,0.394882
4,3788,994,001111100010,0x3E2,0.796171
5,4512,3251,110010110011,0xCB3,2.603976
6,5232,3697,111001110001,0xE71,2.961211
7,5954,1622,011001010110,0x656,1.299184
8,6668,305,000100110001,0x131,0.244298
9,7389,1811,011100010011,0x713,1.450569
10,8105,3774,111010111110,0xEBE,3.022886
11,8825,3113,110000101001,0xC29,2.493441
12,9552,842,001101001010,0x34A,0.674422
13,48025,3665,111001010001,0xE51,2.935580
